Code,Entity,wb_region,income_level
KNA,Saint Kitts and Nevis,Latin America & Caribbean,High income
LCA,Saint Lucia,Latin America & Caribbean,Upper middle income
MAF,Saint Martin (French part),Latin America & Caribbean,High income
VCT,Saint Vincent and the Grenadines,Latin America & Caribbean,Upper middle income
WSM,Samoa,East Asia & Pacific,Upper middle income
SMR,San Marino,Europe & Central Asia,High income
STP,Sao Tome and Principe,Sub-Saharan Africa,Lower middle income
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income
SEN,Senegal,Sub-Saharan Africa,Lower middle income
SRB,Serbia,Europe & Central Asia,Upper middle income
SYC,Seychelles,Sub-Saharan Africa,High income
SLE,Sierra Leone,Sub-Saharan Africa,Low income
SGP,Singapore,East Asia & Pacific,High income
SXM,Sint Maarten (Dutch part),Latin America & Caribbean,High income
SVK,Slovakia,Europe & Central Asia,High income
SVN,Slovenia,Europe & Central Asia,High income
SLB,Solomon Islands,East Asia & Pacific,Lower middle income
SOM,Somalia,Sub-Saharan Africa,Low income
ZAF,South Africa,Sub-Saharan Africa,Upper middle income
KOR,South Korea,East Asia & Pacific,High income
SSD,South Sudan,Sub-Saharan Africa,Low income
ESP,Spain,Europe & Central Asia,High income
LKA,Sri Lanka,South Asia,Upper middle income
SDN,Sudan,Sub-Saharan Africa,Low income
SUR,Suriname,Latin America & Caribbean,Upper middle income
SWE,Sweden,Europe & Central Asia,High income
CHE,Switzerland,Europe & Central Asia,High income
SYR,Syria,"Middle East, North Africa, Afghanistan & Pakistan",Low income
TJK,Tajikistan,Europe & Central Asia,Lower middle income
TZA,Tanzania,Sub-Saharan Africa,Lower middle income
THA,Thailand,East Asia & Pacific,Upper middle income
TGO,Togo,Sub-Saharan Africa,Lower middle income
TON,Tonga,East Asia & Pacific,Upper middle income
TTO,Trinidad and Tobago,Latin America & Caribbean,High income
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
TUR,Turkey,Europe & Central Asia,Upper middle income
TKM,Turkmenistan,Europe & Central Asia,Upper middle income
TCA,Turks and Caicos Islands,Latin America & Caribbean,High income
TUV,Tuvalu,East Asia & Pacific,Upper middle income
UGA,Uganda,Sub-Saharan Africa,Low income
UKR,Ukraine,Europe & Central Asia,Upper middle income
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income
GBR,United Kingdom,Europe & Central Asia,High income
USA,United States,North America,High income
VIR,United States Virgin Islands,Latin America & Caribbean,High income
URY,Uruguay,Latin America & Caribbean,High income
UZB,Uzbekistan,Europe & Central Asia,Lower middle income
VUT,Vanuatu,East Asia & Pacific,Lower middle income
VEN,Venezuela,Latin America & Caribbean,Lower middle income
VNM,Vietnam,East Asia & Pacific,Upper middle income
YEM,Yemen,"Middle East, North Africa, Afghanistan & Pakistan",Low income
ZMB,Zambia,Sub-Saharan Africa,Lower middle income
ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income
